player,shot_conversion,Touches_Att Pen,Take-Ons_Succ,Progression_PrgC,Pass Types_Crs,aerial_dominance,Aerial Duels_Won,Expected_xG,defensive_actions_p90,Tackles_TklW,Performance_Fls,goal_contrib_p90,SCA_SCA,league,age_,cluster,role
Aaron Connolly,0.0829519450800915,45.0,5.5,16.5,5.5,0.24727767695099817,12.5,4.0,1.0048701298701297,4.5,11.0,0.3133116883116883,21.0,Premier League,19.5,3,Poacher
Aaron Lennon,0.0,15.0,5.0,17.0,10.0,0.4166666666666667,5.0,0.2,3.8636363636363633,10.0,11.0,0.0,14.0,Premier League,30.0,2,Pressing Forward
Aaron Leya Iseka,0.15382819794584496,39.333333333333336,9.0,13.0,2.0,0.40893865044808436,27.333333333333332,4.566666666666666,0.6789867109634552,2.6666666666666665,23.0,0.2799003322259136,22.333333333333332,Ligue 1,21.0,3,Poacher
Abdallah Sima,0.1586971586971587,72.0,13.5,37.0,16.0,0.4440066592674806,42.0,5.35,1.373614663256607,12.0,24.0,0.4731457800511509,31.0,Ligue 1,22.0,3,Poacher
Abde Ezzalzouli,0.0543633051829773,92.33333333333333,42.0,89.0,52.666666666666664,0.35423280423280423,17.333333333333332,4.566666666666666,2.683409695759995,19.333333333333332,19.666666666666668,0.21508876187019896,48.0,La Liga,21.0,2,Pressing Forward
Abde Rebbach,0.0588235294117647,36.0,10.0,34.0,63.0,0.35,7.0,0.8,2.25,5.0,13.0,0.125,29.0,La Liga,24.0,2,Pressing Forward
Abdoul Camara,0.1052631578947368,33.0,16.0,46.0,38.0,0.5,9.0,1.6,1.818181818181818,4.0,7.0,0.303030303030303,21.0,Ligue 1,27.0,3,Poacher
Abdoul Kader Bamba,0.1334586466165413,37.5,42.5,61.5,47.0,0.3602484472049689,7.0,2.2,2.176711175267653,9.0,14.0,0.3187778178756165,59.5,Ligue 1,25.5,2,Pressing Forward
Abdoulaye Doucouré,0.1489361702127659,100.0,25.0,55.0,26.0,0.375,24.0,8.8,2.226027397260274,27.0,53.0,0.273972602739726,67.0,Premier League,30.0,1,Target Man
Abdul Majeed Waris,0.1282051282051282,89.0,27.0,70.0,40.0,0.2708333333333333,13.0,5.7,1.16,13.0,17.0,0.32,78.0,Ligue 1,26.0,0,Winger
Abdón Prats,0.1818181818181818,43.0,8.0,9.0,8.0,0.3939393939393939,39.0,3.2,0.851063829787234,4.0,18.0,0.4964539007092198,23.0,La Liga,30.0,3,Poacher
Abel Ruiz,0.1904761904761904,59.0,7.0,21.0,4.0,0.3214285714285714,9.0,4.6,0.9333333333333332,2.0,7.0,0.2666666666666666,17.0,La Liga,24.0,3,Poacher
Adalberto Peñaranda,0.0,20.0,15.0,22.0,5.0,0.2698412698412698,17.0,0.7,1.5730337078651684,6.0,28.0,0.0,34.0,La Liga,20.0,2,Pressing Forward
Adam Armstrong,0.0675177304964539,56.666666666666664,11.666666666666666,34.333333333333336,15.333333333333334,0.30352055352055346,7.666666666666667,3.3000000000000003,1.365551387431972,5.333333333333333,14.0,0.24841651897968622,26.333333333333332,Premier League,25.333333333333332,3,Poacher
Adam Hložek,0.1511299435028248,78.0,21.0,38.0,17.5,0.4322690345739656,32.0,4.15,1.3133741258741258,7.0,17.0,0.5681818181818181,48.0,Bundesliga,21.0,3,Poacher
Adam Ounas,0.09789987789987786,40.0,46.333333333333336,50.666666666666664,56.333333333333336,0.2832125603864734,5.333333333333333,2.1999999999999997,2.1033091202582725,6.666666666666667,11.0,0.416998428274075,51.666666666666664,Serie A,23.333333333333332,2,Pressing Forward
Adam Zreľák,0.1176470588235294,36.0,1.0,0.0,1.0,0.375886524822695,53.0,3.7,2.380952380952381,9.0,19.0,0.2857142857142857,13.0,Bundesliga,24.0,3,Poacher
Adama Diakhaby,0.1666666666666666,34.0,5.0,26.0,20.0,0.3571428571428571,15.0,2.2,4.361702127659575,15.0,15.0,0.5319148936170213,16.0,Ligue 1,21.0,2,Pressing Forward
Adama Niane,0.1126760563380281,103.0,13.0,23.0,12.0,0.2813688212927757,74.0,11.3,1.3333333333333333,12.0,36.0,0.4166666666666667,44.0,Ligue 1,24.0,1,Target Man
Adama Traoré,0.06443049458948806,65.42857142857143,88.0,120.85714285714286,90.28571428571429,0.4652272433523685,32.57142857142857,2.4,1.4696154943152568,10.571428571428571,23.285714285714285,0.2791313256723531,73.85714285714286,Ligue 1,24.571428571428573,0,Winger
Adel Taarabt,0.0606060606060606,51.0,49.0,72.0,42.0,0.2083333333333333,5.0,1.5,2.011173184357542,11.0,22.0,0.223463687150838,81.0,Serie A,28.0,2,Pressing Forward
Ademola Lookman,0.17976949677689671,115.0,48.25,74.5,64.75,0.2761758715422508,7.75,7.25,2.0393658465702744,11.25,31.25,0.6204230199742049,90.25,Serie A,23.5,0,Winger
Admir Mehmedi,0.1666666666666666,78.0,13.0,36.0,78.0,0.3809523809523809,24.0,4.0,3.457446808510638,28.0,28.0,0.5851063829787234,78.0,Bundesliga,27.0,2,Pressing Forward
Adnan Januzaj,0.08383620689655172,55.8,52.0,69.6,92.2,0.2855461845960404,6.0,3.94,1.7830494293577686,9.0,21.8,0.43373142723974434,70.0,La Liga,24.0,0,Winger
Ado Onaiwu,0.1052631578947368,35.0,6.0,11.0,5.0,0.4933333333333333,37.0,1.6,1.0833333333333333,6.0,15.0,0.25,20.0,Ligue 1,26.0,3,Poacher
Adolfo Gaich,0.08514492753623185,32.0,10.0,8.0,0.5,0.2965491559086395,19.5,2.65,1.3907044299201163,3.5,20.5,0.2411038489469862,16.0,Serie A,22.0,3,Poacher
Adri Embarba,0.0399381144061995,49.25,38.5,69.5,151.0,0.30373718423296087,15.75,3.25,3.359685682935966,28.25,28.5,0.20271925781071118,77.0,La Liga,30.5,2,Pressing Forward
Adrian Grbić,0.1290322580645161,40.0,2.0,13.0,5.0,0.4057971014492754,28.0,6.5,1.4018691588785048,4.0,23.0,0.3738317757009346,14.0,Ligue 1,23.0,3,Poacher
Adrien Hunou,0.25517568850902184,44.333333333333336,5.333333333333333,18.666666666666668,8.0,0.2992063492063492,10.333333333333334,6.5,2.5446706350160095,13.333333333333334,17.333333333333332,0.5405741021142276,30.0,Ligue 1,24.0,3,Poacher
Adrián López,0.13259402121504335,94.5,30.5,70.5,22.5,0.4369408620889973,59.0,5.4,1.3499760536398469,9.5,12.5,0.34985632183908044,64.5,La Liga,30.0,1,Target Man
Aitor Ruibal,0.0303030303030303,44.5,25.0,30.5,17.5,0.37295825771324864,9.5,1.95,3.185251263752602,16.5,30.0,0.11299435028248585,44.0,La Liga,24.5,2,Pressing Forward
Akor Adams,0.1083252190847127,83.5,10.5,25.5,8.5,0.4740576496674057,41.0,8.35,0.6121008403361344,3.5,28.0,0.3480672268907563,34.0,Ligue 1,23.5,1,Target Man
Alan Virginius,0.0,40.0,10.0,22.0,22.0,0.2105263157894736,4.0,1.3,1.4423076923076923,5.0,4.0,0.1923076923076923,21.0,Ligue 1,20.0,3,Poacher
Alassane Pléa,0.12012599033569478,105.83333333333333,33.0,61.833333333333336,34.333333333333336,0.3352408267676675,23.5,9.016666666666667,1.2371044259336819,8.333333333333334,26.5,0.5769975062245717,84.16666666666667,Bundesliga,26.833333333333332,1,Target Man
Albert Guðmundsson,0.2546153846153846,51.5,28.5,58.5,101.5,0.185,3.5,7.2,1.1046893193606437,7.5,20.5,0.5168836667725203,91.5,Serie A,26.5,0,Winger
Alberth Elis,0.3,76.0,16.0,42.0,28.0,0.3880597014925373,26.0,6.5,1.6560509554140128,10.0,22.0,0.6369426751592357,38.0,Ligue 1,25.0,1,Target Man
Alberto Moleiro,0.08957219251336895,80.5,60.5,91.5,29.5,0.12200435729847489,3.0,3.8,1.4940397350993377,9.0,24.0,0.26589403973509934,86.5,La Liga,19.5,0,Winger
Alberto Paloschi,0.23461538461538461,42.0,6.5,9.0,4.5,0.2846481876332623,13.5,5.0,0.8924897119341564,8.0,29.5,0.24819958847736617,24.5,Serie A,27.5,3,Poacher
Alejandro Garnacho,0.07,248.0,48.0,178.0,58.0,0.1935483870967742,6.0,8.4,2.0701754385964914,15.0,20.0,0.3859649122807017,119.0,Premier League,19.0,0,Winger
Alejo Véliz,0.0526315789473684,30.0,1.0,2.0,0.0,0.4678899082568807,51.0,2.3,1.36,1.0,20.0,0.08,14.0,La Liga,20.0,3,Poacher
Aleksandar Mitrović,0.1006509486385647,133.0,18.0,20.666666666666668,4.666666666666667,0.49221367477387856,135.33333333333334,11.733333333333334,1.2231366043025236,6.666666666666667,39.0,0.48062550304702767,63.0,Premier League,25.0,1,Target Man
Aleksandr Golovin,0.1304347826086956,38.0,22.0,51.0,111.0,0.3157894736842105,6.0,2.7,3.5928143712574854,22.0,21.0,0.4191616766467066,68.0,Ligue 1,25.0,2,Pressing Forward
Alen Halilović,0.0526315789473684,28.0,31.0,73.0,76.0,0.1764705882352941,3.0,1.6,1.5172413793103448,7.0,9.0,0.2068965517241379,51.0,La Liga,21.0,2,Pressing Forward
Alessandro Matri,0.1034482758620689,48.0,8.0,5.0,6.0,0.3428571428571428,12.0,7.0,0.196078431372549,1.0,7.0,0.2941176470588235,24.0,Serie A,32.0,3,Poacher
Alessandro Schöpf,0.0,16.0,12.0,19.0,12.0,0.3157894736842105,6.0,0.5,2.857142857142857,9.0,12.0,0.0,15.0,Bundesliga,26.0,2,Pressing Forward
Alessandro Zanoli,0.0909090909090909,43.0,20.0,65.0,65.0,0.5,19.0,0.4,2.736842105263158,20.0,17.0,0.0526315789473684,32.0,Serie A,23.0,2,Pressing Forward
Alessio Cerci,0.073170731707317,61.0,27.0,76.0,67.0,0.28125,18.0,3.3,0.989010989010989,10.0,20.0,0.2197802197802197,56.0,Serie A,30.0,2,Pressing Forward
Alex Iwobi,0.09569327731092435,87.5,44.0,114.25,78.0,0.21423444976076553,5.0,3.6,2.191784134828101,16.75,13.0,0.3316137379851307,88.5,Premier League,25.25,0,Winger
Alex Sola,0.0,48.0,43.0,40.0,84.0,0.4705882352941176,16.0,1.6,3.142857142857143,15.0,11.0,0.2142857142857142,69.0,La Liga,24.0,2,Pressing Forward
Alexander Bernhardsson,0.2592592592592592,41.0,22.0,25.0,34.0,0.3584905660377358,19.0,4.1,2.4285714285714284,15.0,21.0,0.6428571428571429,36.0,Bundesliga,25.0,3,Poacher
Alexander Isak,0.20656767654609973,132.5,35.833333333333336,56.666666666666664,12.833333333333334,0.3587036560942433,24.5,13.783333333333333,1.0501940774832734,4.0,23.333333333333332,0.6967734555633428,59.333333333333336,La Liga,21.5,1,Target Man
Alexander Sørloth,0.19294792164357377,116.2,27.0,43.8,9.4,0.5967278483916854,73.8,10.82,0.938402089671403,5.8,29.6,0.7162837185072621,51.8,Bundesliga,26.0,1,Target Man
Alexandre Lacazette,0.22743647251456084,140.875,27.25,28.125,16.5,0.33754618225556143,27.5,13.1875,1.7068405928436032,13.75,44.25,0.7466769313179749,74.75,Ligue 1,29.5,1,Target Man
Alexandre Mendy,0.127145842663084,45.666666666666664,6.0,7.666666666666667,2.6666666666666665,0.41789099184743467,30.666666666666668,3.6333333333333333,0.8199643493761141,2.6666666666666665,17.666666666666668,0.4024955436720143,15.0,Ligue 1,24.0,3,Poacher
Alexis Claude-Maurice,0.0263157894736842,52.0,58.0,64.0,28.0,0.5625,9.0,3.2,2.596685082872928,16.0,13.0,0.1104972375690607,58.0,Ligue 1,21.0,2,Pressing Forward
Alexis Flips,0.0754716981132075,54.0,12.0,23.0,139.0,0.2765957446808511,13.0,3.9,4.045454545454546,30.0,23.0,0.4545454545454545,95.0,Ligue 1,22.0,2,Pressing Forward
Alexis Saelemaekers,0.07303587217380317,55.75,40.0,55.75,61.0,0.4679606625258799,8.25,2.6,2.9739475500345067,22.5,24.25,0.2668302410150236,79.0,Serie A,22.5,2,Pressing Forward
Alexis Sánchez,0.1573993233657099,64.57142857142857,25.714285714285715,28.0,34.0,0.3213071149939181,11.428571428571429,5.0,1.986031882564146,10.428571428571429,18.571428571428573,0.7224875866037116,63.57142857142857,Serie A,31.0,3,Poacher
Alfon,0.108695652173913,114.0,25.0,89.0,40.0,0.1764705882352941,3.0,4.6,1.0526315789473684,3.0,15.0,0.4605263157894737,59.0,La Liga,25.0,0,Winger
Alfredo Donnarumma,0.175,102.0,11.0,28.0,7.0,0.2448979591836734,12.0,6.8,1.1229946524064172,9.0,18.0,0.4812834224598931,48.0,Serie A,28.0,3,Poacher
Alfreð Finnbogason,0.23474945533769062,78.66666666666667,12.666666666666666,21.666666666666668,3.0,0.30672398589065253,18.666666666666668,8.433333333333332,1.4929345927772875,7.333333333333333,27.333333333333332,0.6198830921233068,46.333333333333336,Bundesliga,29.0,1,Target Man
Alieu Fadera,0.0357142857142857,60.0,26.0,74.0,39.0,0.4230769230769231,11.0,1.7,4.207650273224044,47.0,40.0,0.2185792349726776,54.0,Serie A,22.0,2,Pressing Forward
Alireza Jahanbakhsh,0.0,14.0,11.0,14.0,23.0,0.3793103448275862,11.0,0.8,3.982300884955752,18.0,19.0,0.0,21.0,Premier League,24.0,2,Pressing Forward
Allan Saint-Maximin,0.07459082869185608,105.8,110.8,147.8,53.0,0.4583606557377049,13.2,4.220000000000001,1.0910073285909003,8.0,11.8,0.37770223426029303,99.6,Ligue 1,22.6,0,Winger
Amath,0.0,25.0,15.0,18.0,7.0,0.2,5.0,1.4,3.061224489795918,11.0,19.0,0.1020408163265306,23.0,La Liga,25.0,2,Pressing Forward
Amin Sarr,0.1739130434782608,58.0,14.0,31.0,7.0,0.4166666666666667,65.0,3.2,1.5566037735849056,12.0,47.0,0.2358490566037736,45.0,Serie A,23.0,1,Target Man
Amine Adli,0.10810810810810804,62.0,23.5,48.5,19.5,0.3534843205574913,20.5,4.65,3.20507637017071,12.0,33.0,0.4301437556154537,52.5,Bundesliga,21.5,2,Pressing Forward
Amine Gouiri,0.15745290621669636,132.2,40.6,63.8,52.0,0.34422692153784584,15.6,10.620000000000001,1.712547881819755,14.2,30.4,0.6884390518154158,100.0,Ligue 1,22.0,0,Winger
Amine Harit,0.2666666666666666,48.0,25.0,50.0,28.0,0.3,6.0,2.5,1.937984496124031,11.0,17.0,0.6201550387596899,49.0,Ligue 1,24.0,3,Poacher
Amine Salama,0.12,48.0,22.0,35.0,12.0,0.2962962962962963,8.0,3.0,1.9424460431654675,9.0,7.0,0.2877697841726618,27.0,Ligue 1,22.0,3,Poacher
Anass Zaroury,0.0571428571428571,26.0,17.0,49.0,125.0,0.2857142857142857,2.0,1.7,2.0512820512820515,17.0,13.0,0.2564102564102564,72.0,Ligue 1,23.0,2,Pressing Forward
Anastasios Donis,0.1666666666666666,37.0,18.0,33.0,25.0,0.217391304347826,10.0,2.9,2.242990654205608,13.0,21.0,0.6542056074766356,21.0,Bundesliga,21.0,3,Poacher
Anastasios Douvikas,0.2692307692307692,49.0,9.0,10.0,2.0,0.5555555555555556,35.0,4.6,1.4851485148514851,7.0,18.0,0.7920792079207921,20.0,La Liga,23.0,3,Poacher
Ander Barrenetxea,0.13738738738738734,54.5,36.0,46.0,30.0,0.395748987854251,12.5,3.25,3.200808625336927,18.0,25.0,0.3613143370555769,34.5,La Liga,20.5,2,Pressing Forward
Andi Zeqiri,0.0666666666666666,34.0,9.0,10.0,7.0,0.2340425531914893,11.0,2.9,1.6814159292035398,7.0,20.0,0.2654867256637168,23.0,Bundesliga,22.0,3,Poacher
Andre Gray,0.15077399380804948,66.0,5.333333333333333,15.0,7.333333333333333,0.28140096618357485,16.666666666666668,4.7,0.7703244053909875,1.6666666666666667,11.0,0.41729574941369485,26.333333333333332,Premier League,27.0,3,Poacher
Andrea Belotti,0.1107970460911637,123.28571428571429,25.285714285714285,55.857142857142854,18.142857142857142,0.4387353654509911,77.42857142857143,10.471428571428572,1.4825284749237484,12.857142857142858,45.0,0.4556973386807477,70.28571428571429,Serie A,26.0,1,Target Man
Andrea Colpani,0.0555555555555555,49.0,12.0,37.0,33.0,0.4,10.0,2.7,1.5527950310559004,9.0,22.0,0.186335403726708,43.0,Serie A,25.0,3,Poacher
Andrea Nalini,0.0,48.0,20.0,45.0,47.0,0.4031007751937984,52.0,1.1,3.956043956043956,32.0,47.0,0.1098901098901098,43.0,Serie A,27.0,2,Pressing Forward
Andrea Petagna,0.1222085959121026,103.16666666666667,25.0,45.333333333333336,15.333333333333334,0.46782337398160295,38.0,7.166666666666667,0.8660117381865073,3.3333333333333335,31.5,0.45184666487947217,60.5,Serie A,24.833333333333332,1,Target Man
Andrea Pinamonti,0.11299994072004038,119.0,14.0,24.0,17.0,0.3674373277175636,65.66666666666667,8.15,1.1625704514285822,7.5,27.166666666666668,0.3433929251289683,54.0,Serie A,22.166666666666668,1,Target Man
Andreas Cornelius,0.13107913372859023,72.5,8.5,14.75,7.25,0.592179208560257,93.75,3.9499999999999997,0.8686529167743122,3.5,35.0,0.4949355304091785,37.0,Serie A,25.5,1,Target Man
Andreas Skov Olsen,0.03888888888888887,35.0,11.333333333333334,43.666666666666664,53.0,0.40868838763575605,6.666666666666667,2.3666666666666667,2.6277483616764403,9.333333333333334,9.666666666666666,0.2472302879274276,28.0,Serie A,20.0,2,Pressing Forward
Andreas Voglsammer,0.061553030303030304,53.0,7.0,17.5,19.5,0.46936701509872236,39.0,3.15,2.011399154256297,8.5,15.0,0.3332414046699761,25.0,Bundesliga,28.5,3,Poacher
Andrej Ilic,0.2592592592592592,45.0,1.0,5.0,3.0,0.4814814814814814,52.0,4.9,1.346153846153846,2.0,14.0,0.673076923076923,15.0,Bundesliga,24.0,3,Poacher
Andrej Kramarić,0.18436827570055994,115.75,24.5,79.75,80.0,0.3074517374517375,9.0,11.65,0.8013594102125728,3.75,7.25,0.774378387256686,87.75,Bundesliga,28.25,0,Winger
Andrey Galabinov,0.0909090909090909,62.0,10.0,12.0,7.0,0.4655172413793103,54.0,3.7,1.92,5.0,26.0,0.32,23.0,Serie A,28.0,3,Poacher
Andriy Yarmolenko,0.0967741935483871,66.0,16.0,40.0,46.0,0.4090909090909091,9.0,4.8,2.0,12.0,19.0,0.5217391304347826,56.0,Bundesliga,27.0,2,Pressing Forward
Andros Townsend,0.0702764976958525,64.33333333333333,60.0,120.33333333333333,134.66666666666666,0.2347222222222222,3.6666666666666665,2.6666666666666665,3.5911102866313485,30.0,9.666666666666666,0.23255202690999685,105.0,Premier League,27.0,0,Winger
