player,league,team,avg_age,seasons,career_goals,career_assists,career_xG,avg_xG_over,avg_goal_p90,avg_prog_p90,avg_def_p90,avg_shot_conv,avg_aerial,avg_SCA,avg_dribbles,avg_shots,avg_shot_dist,role,cluster
Aaron Connolly,Premier League,Brighton,19.5,2,5,2,8.0,-1.5,0.31,2.02,1.0,0.08,0.25,21.0,5.5,30.5,15.1,Poacher,3.0
Aaron Lennon,Premier League,Everton,30.0,1,0,0,0.2,-0.2,0.0,4.09,3.86,0.0,0.42,14.0,5.0,4.0,15.9,Pressing Forward,2.0
Aaron Leya Iseka,Ligue 1,Metz,21.0,3,10,0,13.7,-1.23,0.28,2.36,0.68,0.15,0.41,22.33,9.0,23.0,14.93,Poacher,3.0
Aaron Seydel,Bundesliga,Darmstadt 98,27.0,1,1,0,1.0,0.0,0.14,2.46,1.59,0.07,0.59,13.0,3.0,14.0,16.8,,
Abdallah Sima,Ligue 1,Brest,22.0,2,12,3,10.7,0.65,0.47,3.62,1.37,0.16,0.44,31.0,13.5,38.0,12.9,Poacher,3.0
Abde Ezzalzouli,La Liga,Betis,20.5,4,8,4,15.0,-1.75,0.2,8.44,2.83,0.06,0.34,40.25,40.0,37.5,17.25,Pressing Forward,2.0
Abde Rebbach,La Liga,Alavés,24.5,2,1,0,1.0,-0.0,0.06,5.44,1.82,0.03,0.22,19.5,6.5,11.5,19.85,Pressing Forward,2.0
Abdoul Camara,Ligue 1,Guingamp,27.0,1,2,1,1.6,0.4,0.3,7.07,1.82,0.11,0.5,21.0,16.0,19.0,19.7,Poacher,3.0
Abdoul Kader Bamba,Ligue 1,Nantes,26.67,3,6,5,6.5,-0.17,0.36,9.14,2.19,0.14,0.41,51.67,31.67,15.67,18.7,Pressing Forward,2.0
Abdoulaye Doucouré,Premier League,Everton,30.0,1,7,1,8.8,-1.8,0.27,5.21,2.23,0.15,0.38,67.0,25.0,47.0,12.2,Target Man,1.0
Abdoulie Ceesay,Bundesliga,St. Pauli,20.0,1,0,0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,1.0,0.0,0.0,0.0,,
Abdul Fatawu Issahaku,Premier League,Leicester City,20.0,1,0,2,0.4,-0.4,0.31,9.22,4.06,0.0,0.52,17.0,29.0,13.0,31.2,,
Abdul Majeed Waris,Ligue 1,Strasbourg,27.5,4,10,4,9.9,0.02,0.44,5.57,1.37,0.21,0.26,26.25,12.75,15.25,17.65,Winger,0.0
Abdón Prats,La Liga,Mallorca,28.8,5,12,2,9.1,0.58,0.35,2.14,0.9,0.13,0.38,11.4,4.0,16.0,14.92,Poacher,3.0
Abel Ruiz,La Liga,Girona,24.0,1,4,0,4.6,-0.6,0.27,2.93,0.93,0.19,0.32,17.0,7.0,21.0,14.0,Poacher,3.0
Aboubakar Kamara,Ligue 1,Dijon,24.33,2,4,0,5.4,-0.47,0.18,3.83,1.44,0.08,0.49,16.33,8.0,11.33,19.67,,
Adalberto Peñaranda,La Liga,Málaga,20.0,1,0,0,0.7,-0.7,0.0,4.49,1.57,0.0,0.27,34.0,15.0,21.0,23.8,Pressing Forward,2.0
Adam Armstrong,Premier League,Southampton,25.33,3,6,5,9.9,-1.3,0.25,3.81,1.37,0.07,0.3,26.33,11.67,32.33,16.57,Poacher,3.0
Adam Buksa,Ligue 1,Lens,26.0,1,0,0,0.0,0.0,0.0,3.64,0.0,0.0,0.17,1.0,0.0,0.0,0.0,,
Adam Hložek,Bundesliga,Hoffenheim,21.0,2,13,7,8.3,2.35,0.57,4.82,1.31,0.15,0.43,48.0,21.0,44.5,17.1,Poacher,3.0
Adam Idah,Premier League,Norwich City,19.0,2,1,1,3.3,-1.15,0.14,2.92,2.14,0.04,0.29,9.5,6.0,10.0,15.7,,
Adam Ounas,Serie A,Crotone,23.2,5,8,9,7.4,0.12,0.29,8.43,2.65,0.08,0.27,38.6,31.8,17.2,19.3,Pressing Forward,2.0
Adam Zreľák,Bundesliga,Nürnberg,24.0,1,2,1,3.7,-1.7,0.29,0.86,2.38,0.12,0.38,13.0,1.0,17.0,9.9,Poacher,3.0
Adama Bojang,Ligue 1,Reims,19.0,1,0,0,1.3,-1.3,0.0,3.33,4.44,0.0,0.25,2.0,1.0,4.0,16.9,,
Adama Diakhaby,Ligue 1,Monaco,21.5,2,2,3,2.8,-0.4,0.27,3.97,3.08,0.08,0.32,15.5,8.5,9.5,17.8,Pressing Forward,2.0
Adama Niane,Ligue 1,Troyes,24.0,1,8,2,11.3,-3.3,0.42,2.08,1.33,0.11,0.28,44.0,13.0,71.0,17.4,Target Man,1.0
Adama Traoré,Ligue 1,Metz,24.89,7,15,29,19.0,-0.44,0.4,9.66,1.51,0.07,0.51,61.22,72.11,24.78,18.23,Winger,0.0
Adel Taarabt,Serie A,Genoa,28.0,1,2,2,1.5,0.5,0.22,8.55,2.01,0.06,0.21,81.0,49.0,33.0,21.2,Pressing Forward,2.0
Ademola Lookman,Serie A,Atalanta,22.0,7,34,19,31.8,0.31,0.4,8.21,2.32,0.1,0.28,57.71,33.14,33.57,16.83,Winger,0.0
Admir Mehmedi,Bundesliga,Wolfsburg,26.5,2,7,5,4.2,1.4,0.45,6.05,2.35,0.21,0.5,41.5,6.5,20.0,18.65,Pressing Forward,2.0
Adnan Januzaj,La Liga,Sevilla,24.67,6,14,16,20.3,-1.05,0.36,8.46,1.96,0.07,0.36,59.33,44.17,31.83,20.15,Winger,0.0
Ado Onaiwu,Ligue 1,Toulouse,26.0,1,2,1,1.6,0.4,0.25,3.42,1.08,0.11,0.49,20.0,6.0,19.0,17.2,Poacher,3.0
Adolfo Gaich,Serie A,Hellas Verona,22.0,2,4,0,5.3,-0.65,0.24,1.87,1.39,0.09,0.3,16.0,10.0,23.5,15.45,Poacher,3.0
Adri Embarba,La Liga,Rayo Vallecano,30.5,4,8,8,13.0,-1.25,0.2,5.79,3.36,0.04,0.3,77.0,38.5,49.0,23.3,Pressing Forward,2.0
Adrian Baquerin,La Liga,Valladolid,17.0,1,0,0,0.4,-0.4,0.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,11.0,,
Adrian Benedyczak,Serie A,Parma,23.0,1,0,0,0.3,-0.3,0.0,2.5,1.25,0.0,0.43,3.0,0.0,3.0,18.4,,
Adrian Grbić,Ligue 1,Lorient,23.5,2,5,0,8.2,-1.6,0.27,1.59,1.05,0.11,0.4,10.5,1.5,21.5,19.1,Poacher,3.0
Adrien Hunou,Ligue 1,Rennes,24.5,4,24,3,24.1,-0.03,0.56,3.13,2.33,0.24,0.33,26.0,4.25,24.75,12.12,Poacher,3.0
Adrián López,La Liga,Osasuna,30.67,3,12,7,12.2,-0.07,0.36,6.84,1.28,0.12,0.41,48.33,23.33,29.33,14.13,Target Man,1.0
Adrián Ramos,La Liga,Granada,33.0,1,0,0,0.4,-0.4,0.0,5.2,2.0,0.0,0.39,6.0,0.0,6.0,12.4,,
Adu Ares,La Liga,Athletic Club,20.5,2,0,0,0.2,-0.1,0.0,9.43,3.81,0.0,0.62,7.5,10.0,3.5,21.25,,
Afimico Pululu,Bundesliga,Greuther Fürth,22.0,1,0,0,0.0,0.0,0.0,5.0,1.25,0.0,0.25,2.0,6.0,1.0,15.7,,
Agustín Álvarez,Serie A,Sassuolo,21.0,1,1,1,1.5,-0.5,0.49,1.95,2.68,0.07,0.4,9.0,7.0,14.0,15.8,,
Ahmed Kutucu,Bundesliga,Schalke 04,19.0,3,5,2,3.4,0.53,0.36,3.56,1.25,0.11,0.27,11.0,11.67,10.0,19.23,,
Aitor Ruibal,La Liga,Betis,24.5,2,2,2,3.9,-0.95,0.11,5.23,3.19,0.03,0.37,44.0,25.0,26.5,18.05,Pressing Forward,2.0
Akaki Gogia,Bundesliga,Union Berlin,28.0,1,0,1,0.1,-0.1,0.62,7.5,0.62,0.0,0.33,4.0,2.0,2.0,20.9,,
Akor Adams,Ligue 1,Montpellier,23.5,2,11,2,16.7,-2.85,0.35,1.85,0.61,0.11,0.47,34.0,10.5,52.5,13.9,Target Man,1.0
Alan Virginius,Ligue 1,Clermont Foot,19.5,2,1,2,4.4,-1.7,0.27,5.86,1.41,0.04,0.15,14.5,5.0,11.0,14.7,Poacher,3.0
Alassane Pléa,Bundesliga,Gladbach,26.83,6,53,33,54.1,-0.18,0.58,6.28,1.24,0.12,0.34,84.17,33.0,68.5,17.03,Target Man,1.0
Albert Guðmundsson,Serie A,Fiorentina,25.67,3,21,5,15.7,1.77,0.39,5.15,1.23,0.21,0.23,69.0,21.33,28.67,19.73,Winger,0.0
Alberth Elis,Ligue 1,Bordeaux,25.0,1,9,1,6.5,2.5,0.64,4.39,1.66,0.3,0.39,38.0,16.0,30.0,13.9,Target Man,1.0
